GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SegurosDAOH2,es.unican.is2.SegurosDAOH2,ClienteMapper,0,21,0,0,0,5,0,1,0,1
SegurosDAOH2,es.unican.is2.SegurosDAOH2,ClientesDAO,23,262,6,16,7,65,6,13,0,8
SegurosDAOH2,es.unican.is2.SegurosDAOH2,SeguroMapper,7,38,0,0,2,8,0,1,0,1
SegurosDAOH2,es.unican.is2.SegurosDAOH2,SegurosDAO,38,217,10,16,8,51,10,11,0,8
SegurosDAOH2,es.unican.is2.SegurosDAOH2,H2ServerConnectionManager,22,85,1,3,7,29,1,5,0,4
